,Category,x
1858,flavoring,13
2001,ga,13
2006,galangal,13
2029,garni,13
2044,gemelli,13
2905,mahimahi,13
3006,marzipan,13
3236,muscovy,13
3377,oak,13
3508,pacific,13
3717,pierced,13
3841,portabella,13
3976,pureed,13
3981,purslane,13
4177,rigate,13
4315,saltine,13
4376,scalded,13
4477,seville,13
4533,shiso,13
4862,sticky,13
4880,storage,13
5186,tim,13
5397,unripe,13
5407,unsliced,13
5459,vegan,13
5467,vein,13
5708,ziti,13
69,aji,12
127,amount,12
156,annatto,12
177,approx,12
336,bbq,12
622,brushed,12
865,cerignola,12
898,chartreuse,12
1088,coin,12
1090,cola,12
1100,colman,12
1183,cornflak,12
1202,counter,12
1274,crostini,12
1378,dandelion,12
1402,decoration,12
1427,demiglace,12
1753,fast,12
2099,glutinou,12
2120,gourmet,12
2146,gras,12
2258,hardwood,12
2267,has,12
2405,icing,12
2407,idaho,12
2490,jamaican,12
2603,kind,12
2702,latienda,12
2708,lavender,12
2833,london,12
2883,machine,12
2932,mallet,12
3032,may,12
3092,micro,12
3111,milled,12
3318,nigella,12
3505,p,12
3684,petal,12
3858,poultry,12
3886,prefer,12
3956,pudding,12
4322,sambuca,12
4393,scissor,12
4417,seasonally,12
4427,sectioned,12
4547,shortcut,12
4553,should,12
4556,shoyu,12
4594,sinew,12
4642,slit,12
4772,splash,12
4846,steel,12
4939,suet,12
5000,t,12
5049,tan,12
5120,test,12
5181,tightly,12
5233,toothpick,12
5249,tossed,12
5439,vacuum,12
5472,venison,12
114,amarillo,11
465,bluefish,11
471,boboli,11
529,boursin,11
541,braeburn,11
581,brie,11
658,bushi,11
747,canning,11
775,caramelized,11
782,carcass,11
810,case,11
884,chanterell,11
1091,colander,11
1129,concentrated,11
1170,cor,11
1233,crawfish,11
1261,crispy,11
1312,cuminseed,11
1461,dictine,11
1832,fit,11
2043,gem,11
2053,germain,11
2185,grocery,11
2205,gum,11
2217,ha,11
2302,helpful,11
2318,hibiscu,11
2476,it,11
2529,jonagold,11
2561,kalustyan,11
2568,katsuo,11
2589,kettle,11
2637,kohlrabi,11
2671,lacinato,11
2719,leafy,11
2732,leche,11
2855,lower,11
2978,marinade,11
3080,mesh,11
3192,morton,11
3264,narrow,11
3436,opened,11
3554,papery,11
3578,partially,11
3591,passover,11
3609,pattypan,11
3617,pearled,11
3622,pectin,11
3631,pekin,11
3676,persimmon,11
3692,philadelphia,11
3828,ponzu,11
3960,pullman,11
4089,reconstituted,11
4279,rustique,11
4395,scoop,11
4498,shape,11
4588,similar,11
4646,sloe,11
4955,sunchok,11
5231,too,11
5250,tostada,11
5447,valrhona,11
5478,verju,11
5530,wakame,11
5645,woody,11
5701,zested,11
111,amaranth,10
147,anglaise,10
269,baharat,10
279,bakeware,10
370,belly,10
412,biscotti,10
461,blowtorch,10
558,branzino,10
592,briquett,10
674,buttering,10
724,campanelle,10
956,chimichurri,10
1058,cluster,10
1115,comice,10
1223,crack,10
1301,cubanelle,10
1499,ditalini,10
1628,either,10
1631,elderflower,10
1745,farina,10
1764,fed,10
1860,flax,10
1986,fryer,10
2154,grating,10
2228,hake,10
2255,hanout,10
2285,hearty,10
2339,hold,10
2345,hollow,10
2378,how,10
2528,joint,10
2577,kefalotyri,10
2632,knuckle,10
2768,ligament,10
2789,lined,10
2913,maine,10
3004,marzano,10
3076,meringue,10
3225,multi,10
3252,naam,10
3285,needle,10
3337,nonreactive,10
3398,oiling,10
3458,original,10
3537,pancake,10
3657,pepperoni,10
3720,pig,10
3792,plumped,10
3848,portuguese,10
3914,pretzel,10
4137,request,10
4197,risotto,10
4238,ros,10
4246,rotelle,10
4425,second,10
4464,separator,10
4465,sercial,10
4495,shaohsing,10
4524,shiitak,10
4531,shiro,10
4651,smaller,10
4659,smithfield,10
4891,strand,10
4906,stripped,10
5083,tb,10
5177,tienda,10
5242,tortellini,10
5270,tray,10
5275,treviso,10
5392,unpasteurized,10
5571,weighing,10
33,addition,9
75,alaskan,9
95,almost,9
116,amazon,9
165,aperol,9
181,aquavit,9
187,area,9
221,aside,9
318,based,9
578,bri,9
655,burrito,9
897,charred,9
902,chayote,9
912,chef,9
943,chiffonade,9
958,chine,9
1127,con,9
1166,cooling,9
1278,crudit,9
1369,dairy,9
1383,darjeeling,9
1401,decorating,9
1443,desiccated,9
1541,drain,9
1581,dungenes,9
1606,east,9
1629,ejo,9
1660,enoki,9
1700,even,9
2000,fuyu,9
2002,gaeta,9
2131,grana,9
2145,grappa,9
2214,gyoza,9
2280,health,9
2289,heatproof,9
2304,hemp,9
2569,katsuobushi,9
2707,lavash,9
2728,lebanese,9
2814,litr,9
2844,lopez,9
2958,manual,9
3051,medallion,9
3082,mesquite,9
3206,mountain,9
3218,muenster,9
3332,nonhydrogenated,9
3373,nutritional,9
3394,oi,9
3435,open,9
3487,outside,9
3517,padano,9
3618,peasant,9
3686,petit,9
3689,peychaud,9
3825,poni,9
3844,porterhouse,9
3884,precooked,9
3901,preparedbasic,9
3935,proof,9
3958,puffed,9
4017,ra,9
4019,rabbit,9
4030,raised,9
4063,ravioli,9
4181,rim,9
4351,saucepan,9
4397,scored,9
4475,seven,9
4596,single,9
4710,soppressata,9
4804,sprouted,9
4892,straw,9
4901,stringed,9
4950,sultana,9
5072,tartlet,9
5299,trumpet,9
5395,unrefined,9
5556,waxy,9
5659,xanthan,9
5677,yield,9
50,african,8
52,again,8
62,ahead,8
265,bagel,8
347,beauty,8
440,bleached,8
547,braising,8
554,brandied,8
588,brined,8
597,brittle,8
665,buttercream,8
700,calabaza,8
704,calamari,8
716,calorie,8
825,castelvetrano,8
892,chardonnay,8
1013,cipolline,8
1022,citron,8
1093,colby,8
1116,commercial,8
1125,comt,8
1200,couli,8
1201,count,8
1244,creme,8
1287,crunchy,8
1380,danish,8
1409,defatted,8
1419,delicata,8
1420,delicate,8
1472,diluted,8
1488,discard,8
1554,drip,8
1626,eighteen,8
1687,espelette,8
1691,essencia,8
1692,essensia,8
1694,etc,8
1716,expose,8
1767,feet,8
1889,foamy,8
1902,foot,8
1944,freezer,8
1988,fudge,8
2028,garnet,8
2049,gently,8
2233,halloumi,8
2236,halvah,8
2268,hash,8
2296,heinz,8
2377,house,8
2704,latino,8
2826,local,8
3093,microgreen,8
3130,minu,8
3162,mole,8
3186,morita,8
3268,naturally,8
3281,nectarine,8
3301,neufch,8
3329,nondairy,8
3421,omit,8
3568,parma,8
3602,pat,8
3632,pekoe,8
3652,peppered,8
3664,perciatelli,8
3728,piloncillo,8
3755,piquillo,8
3815,pollen,8
3869,poussin,8
3892,preferred,8
4038,ramen,8
4039,ramp,8
4203,ro,8
4359,sautern,8
4413,sealable,8
4415,season,8
4461,separate,8
4567,sicilian,8
4714,sorghum,8
4720,souffl,8
4813,squeeze,8
4832,standard,8
4890,strainer,8
5054,tangy,8
5090,tear,8
5117,terrine,8
5227,tong,8
5229,tonic,8
5353,ultimate,8
5511,violet,8
5582,whatever,8
5640,wondra,8
5687,yuca,8
83,alfalfa,7
91,allow,7
153,anisette,7
327,basting,7
467,board,7
628,bucatini,7
648,burger,7
677,butterscotch,7
723,camembert,7
792,carnaroli,7
960,chinkiang,7
961,chioggia,7
1030,classic,7
1066,coated,7
1134,concord,7
1136,condiment,7
1145,consomm,7
1251,crescent,7
1270,crosscut,7
1412,deglet,7
1464,different,7
1508,dolce,7
1536,dowel,7
1587,dust,7
1603,easier,7
1645,emmenthal,7
1651,empty,7
1757,fatty,7
1788,fideo,7
1815,finishing,7
1857,flavorful,7
1897,following,7
1973,fromage,7
2010,gallo,7
2047,genoa,7
2092,globe,7
2136,granola,7
2168,gri,7
2197,guanciale,7
2250,handle,7
2266,harvest,7
2282,heaped,7
2288,heath,7
2316,hershey,7
2387,hummu,7
2402,iced,7
2437,indonesian,7
2620,kiwifruit,7
2726,leaved,7
2765,licorice,7
2793,lingonberry,7
2926,malaga,7
2955,manischewitz,7
2963,mara,7
3020,matcha,7
3085,method,7
3098,midori,7
3129,minted,7
3143,mixing,7
3153,moist,7
3204,moulard,7
3207,mousse,7
3227,multigrain,7
3265,nasturtium,7
3381,oatmeal,7
3418,oloroso,7
3484,our,7
3488,ouzo,7
3502,own,7
3594,pasteurized,7
3607,patti,7
3677,person,7
3710,picnic,7
3711,pico,7
3742,pineappl,7
3782,pleated,7
3791,plump,7
3838,porgy,7
3881,pre,7
3912,pressure,7
3922,problem,7
3964,pulsed,7
4090,rectangl,7
4104,refried,7
4135,reposado,7
4231,rome,7
4259,royal,7
4289,safe,7
4293,saga,7
4314,saltin,7
4323,same,7
4373,sawed,7
4484,shaker,7
4679,soak,7
4728,southern,7
4826,stainles,7
4887,straight,7
4898,strength,7
4921,sturgeon,7
4951,sum,7
4992,syrah,7
5007,tablepoon,7
5079,tatsoi,7
5101,tempeh,7
5148,thickest,7
5264,traditional,7
5375,underripe,7
5385,unhusked,7
5394,unpitted,7
5499,vin,7
5590,while,7
5594,whisk,7
5691,yuzu,7
25,acini,6
76,albacore,6
97,along,6
182,arbol,6
271,bai,6
282,balance,6
307,barilla,6
326,baster,6
332,batter,6
356,been,6
383,berger,6
473,bocconcini,6
503,bordeaux,6
590,brioch,6
602,broil,6
632,buco,6
686,cabral,6
788,carefully,6
790,caribbean,6
802,cartilage,6
840,cavatappi,6
845,cavolo,6
881,chamomile,6
978,chok,6
1024,citrusy,6
1061,coal,6
1113,combined,6
1199,cotton,6
1266,croissant,6
1299,cuban,6
1346,cure,6
1537,down,6
1552,drink,6
1570,dubonnet,6
1601,earth,6
1617,edged,6
1819,fino,6
1914,formed,6
1943,freeze,6
1990,fuis,6
2054,german,6
2064,gigante,6
2248,handheld,6
2271,havarti,6
2312,heritage,6
2328,hinged,6
2395,hydrogenated,6
2413,imitation,6
2440,infused,6
2444,ink,6
2457,instead,6
2669,labneh,6
2681,lake,6
2685,lan,6
2701,late,6
2761,level,6
2782,limeade,6
2785,limoncello,6
2804,liquefy,6
2872,luxardo,6
2873,lyche,6
2910,maifun,6
2993,marron,6
3011,maseca,6
3057,mein,6
3087,mexicana,6
3158,mojo,6
3221,mulato,6
3266,nationwide,6
3296,nero,6
3298,nest,6
3314,nib,6
3315,nice,6
3319,nine,6
3345,noor,6
3370,nutella,6
3382,oaxaca,6
3385,octopu,6
3414,olivada,6
3470,osso,6
3516,pad,6
3581,party,6
3643,pepe,6
3648,peppadew,6
3653,pepperidge,6
3665,perfect,6
3724,pilaf,6
3736,pimm,6
3768,place,6
3773,plank,6
3783,plenty,6
3855,pouch,6
3856,pouilly,6
3880,prawn,6
3919,prik,6
3968,punch,6
3986,puy,6
4049,rapid,6
4158,rhum,6
4194,rise,6
4200,ritz,6
4270,rump,6
4342,sardo,6
4390,scharffen,6
4391,schmaltz,6
4394,scon,6
4452,semidried,6
4490,shanghai,6
4528,shin,6
4552,shot,6
4557,shred,6
4647,slotted,6
4790,spreading,6
4915,studded,6
4941,sugarcane,6
4981,sweep,6
5040,tamal,6
5122,texa,6
5161,thirty,6
5238,torch,6
5273,tree,6
5303,try,6
5421,unwaxed,6
5464,vegetarian,6
5480,vermont,6
5513,virginia,6
5602,whiting,6
5678,yoghurt,6
5695,zealand,6
5703,zester,6
8,absinthe,5
9,absolut,5
45,adrianascaravan,5
73,aka,5
101,alsatian,5
125,amontillado,5
144,angelica,5
163,apart,5
176,appropriate,5
214,asafetida,5
248,avoid,5
287,balm,5
304,barberri,5
359,beetroot,5
373,beluga,5
376,benedictine,5
396,beverage,5
568,breadstick,5
576,brew,5
582,briefly,5
603,broiled,5
613,brought,5
681,buy,5
702,calabrian,5
711,call,5
756,canton,5
833,catsup,5
837,cava,5
843,caviti,5
860,centimeter,5
883,chang,5
915,chenin,5
930,chewy,5
934,chianti,5
950,chill,5
976,choi,5
1032,claw,5
1039,clementine,5
1117,common,5
1147,contain,5
1177,cork,5
1180,cornbread,5
1217,cow,5
1309,cultured,5
1340,cupsturkey,5
1372,dal,5
1430,dense,5
1433,denver,5
1474,dinner,5
1477,dipped,5
1513,domestic,5
1563,drumett,5
1610,eating,5
1650,empire,5
1713,exotic,5
1739,fan,5
1740,fancy,5
1755,fatback,5
1794,fil,5
1805,fin,5
1830,fishmonger,5
1931,fram,5
1936,frank,5
1995,fungu,5
2037,geese,5
2041,gelato,5
2056,gew,5
2061,giant,5
2091,glitter,5
2121,goya,5
2157,grease,5
2237,halve,5
2279,headnote,5
2300,hellmann,5
2349,home,5
2361,hook,5
2381,hsing,5
2382,huckleberri,5
2428,included,5
2483,jaggery,5
2485,jalapeno,5
2487,jalepe,5
2514,jerky,5
2532,jowl,5
2578,kefir,5
2599,kikkoman,5
2693,lardon,5
2696,largest,5
2700,last,5
2762,leveled,5
2788,line,5
2824,lob,5
2846,lot,5
2848,loui,5
2849,louisiana,5
2858,lox,5
2925,makroot,5
3016,mason,5
3026,mature,5
3045,meatball,5
3075,meringu,5
3090,mezcal,5
3095,microwave,5
3104,milder,5
3194,moscato,5
3226,multicolored,5
3340,nontoxic,5
3348,north,5
3360,nster,5
3396,oiled,5
3424,once,5
3555,pappadam,5
3588,passing,5
3597,pastrami,5
3600,pasture,5
3612,peak,5
3629,peeling,5
3668,perforated,5
3718,pierogi,5
3733,pimento,5
3798,poaching,5
3830,popcorn,5
3888,preferable,5
4003,quatre,5
4033,raita,5
4040,ranch,5
4072,really,5
4108,refrigerator,5
4149,restaurant,5
4151,result,5
4277,russian,5
4283,rztraminer,5
4290,safety,5
4333,santa,5
4343,saronno,5
4345,sashimi,5
4365,savoiardi,5
4372,sawdust,5
4423,seckel,5
4429,securely,5
4442,segmented,5
4494,shao,5
4502,shark,5
4511,shear,5
4581,silk,5
4586,silverskin,5
4604,sixth,5
4636,slider,5
4639,slim,5
4662,smoker,5
4666,smoky,5
4669,snack,5
4670,snail,5
4672,snapped,5
4683,sockeye,5
4745,spearmint,5
4773,splenda,5
4775,sponge,5
4854,sterilized,5
4910,strozzapreti,5
4924,styrofoam,5
4965,superpremium,5
4970,supply,5
5073,tasso,5
5139,these,5
5212,togarashi,5
5279,triangular,5
5285,trim,5
5317,tuil,5
5358,ume,5
5363,unbaked,5
5365,unblanched,5
5369,unconverted,5
5409,unsprayed,5
5527,waffle,5
5557,way,5
5580,wet,5
5630,wire,5
5658,www,5
41,adjustment,4
65,aioli,4
67,aisle,4
123,amino,4
159,antica,4
188,arepa,4
197,aromatic,4
209,artisanal,4
253,baba,4
274,bake,4
344,beaujolai,4
345,beaum,4
350,become,4
352,beech,4
363,being,4
374,ben,4
450,blis,4
477,body,4
495,boning,4
500,book,4
538,boysenberry,4
549,branca,4
579,brick,4
589,brining,4
594,brisling,4
693,caf,4
713,callebaut,4
717,calrose,4
768,capon,4
773,carambola,4
805,carving,4
826,caster,4
831,catch,4
841,cavatelli,4
853,celestial,4
856,celtic,4
870,chaat,4
923,cherrystone,4
947,chilean,4
979,cholula,4
982,choose,4
993,chow,4
999,chub,4
1027,claret,4
1114,comfort,4
1141,connecting,4
1142,connective,4
1205,couple,4
1228,craisin,4
1249,crep,4
1250,cres,4
1268,croquett,4
1281,crumble,4
1286,crunch,4
1348,curing,4
1350,curled,4
1354,curried,4
1362,cutting,4
1377,damson,4
1431,dente,4
1441,deseeded,4
1473,dim,4
1478,dipper,4
1486,disaronno,4
1512,domaine,4
1553,drinking,4
1556,drizzle,4
1557,drizzled,4
1575,dufour,4
1576,duke,4
1615,edg,4
1616,edge,4
1621,eggnog,4
1635,eliminate,4
1644,emmentaler,4
1690,essence,4
1702,ever,4
1709,except,4
1733,fajita,4
1737,family,4
1776,fernet,4
1803,filter,4
1842,flan,4
1868,flexible,4
1878,flowering,4
1895,folded,4
1916,formula,4
1965,frisee,4
1997,furikake,4
2031,garnishing,4
2055,get,4
2096,glug,4
2170,grigio,4
2177,grissini,4
2193,gruyere,4
2204,gulden,4
2218,haa,4
2224,haeng,4
2234,haloumi,4
2240,hamachi,4
2259,hardy,4
2273,hawaiian,4
2293,heering,4
2308,herbal,4
2315,herring,4
2331,hoagie,4
2343,holiday,4
2347,holly,4
2352,hon,4
2384,hull,4
2398,ibarra,4
2404,icicle,4
2416,important,4
2454,insta,4
2463,interior,4
2464,interval,4
2489,jamaica,4
2504,jeanne,4
2508,jellied,4
2525,joe,4
2526,johannisberg,4
2530,jonathan,4
2566,kasseri,4
2570,kebab,4
2634,kochujang,4
2642,konbu,4
2709,laver,4
2753,lentill,4
2783,limo,4
2796,linguica,4
2823,loavescorn,4
2927,malagueta,4
2931,malibu,4
2954,manioc,4
2961,manzanilla,4
2975,maria,4
2986,marked,4
3069,membrillo,4
3099,mie,4
3106,mildly,4
3112,miller,4
3156,moisture,4
3188,moroccan,4
3248,myer,4
3258,name,4
3335,nonpareil,4
3344,noodle,4
3351,nose,4
3434,opal,4
3438,opposite,4
3466,osetra,4
3536,pancak,4
3545,panettone,4
3564,paring,4
3582,parve,4
3635,pelvic,4
3646,peperoncino,4
3656,pepperoncini,4
3681,pesticide,4
3688,petrale,4
3697,pic,4
3721,pigeon,4
3795,pluot,4
3801,pocketles,4
3903,presentation,4
3916,prewashed,4
3937,propane,4
3943,protein,4
3985,put,4
4073,recado,4
4087,recommend,4
4088,recommended,4
4102,refreshed,4
4120,release,4
4148,rest,4
4182,rimles,4
4201,river,4
4245,rosso,4
4284,sabayon,4
4335,sanuki,4
4348,sauc,4
4363,save,4
4383,scallopini,4
4450,semiboneles,4
4453,semidry,4
4481,shak,4
4497,shap,4
4501,shard,4
4520,shepherd,4
4521,sherbet,4
4523,shichimi,4
4532,shishito,4
4692,softly,4
4702,somen,4
4724,sourc,4
4764,spin,4
4770,spirit,4
4795,sprinkl,4
4852,step,4
4858,stewing,4
4873,stockpot,4
4974,sure,4
4979,swanson,4
5004,tabil,4
5023,tablet,4
5038,taleggio,4
5057,tap,4
5099,tehina,4
5125,textured,4
5128,thanksgiving,4
5137,there,4
5158,thinned,4
5174,tia,4
5188,time,4
5196,tissue,4
5228,tongue,4
5243,tortelloni,4
5346,tying,4
5354,ultra,4
5368,uncle,4
5418,untoasted,4
5427,urfa,4
5434,usukuchi,4
5452,variation,4
5455,variou,4
5457,vary,4
5471,venise,4
5483,version,4
5514,visible,4
5579,westphalian,4
5617,wildflower,4
5625,winesap,4
5639,wonderful,4
12,acacia,3
22,acid,3
30,adam,3
37,adjoining,3
57,agen,3
68,aitchbone,3
74,alaska,3
96,aloe,3
107,alternative,3
139,andr,3
148,angle,3
169,appetizer,3
212,asadero,3
224,aspic,3
230,asti,3
240,auslese,3
243,aux,3
256,bacardi,3
299,banyul,3
306,barely,3
309,barlett,3
311,barolo,3
324,basque,3
331,baton,3
351,bee,3
378,beni,3
379,benne,3
382,berbere,3
415,bisquick,3
448,blind,3
466,boar,3
486,bolognese,3
488,bombay,3
504,borlotti,3
519,boudoir,3
559,brasato,3
572,bream,3
580,bridge,3
583,bright,3
604,broiler,3
608,brook,3
612,brother,3
615,browned,3
620,bruschetta,3
629,bucheron,3
633,budweiser,3
639,bumpy,3
646,bupound,3
689,cacha,3
691,cactu,3
707,calf,3
715,calmyrna,3
738,candlenut,3
787,careful,3
793,carnation,3
798,carpano,3
808,casarecce,3
893,charentai,3
904,cheap,3
908,chees,3
913,chefshop,3
919,chermoula,3
920,cheron,3
940,chicori,3
985,choppe,3
989,chopstick,3
996,chrysanthemum,3
1014,cipollini,3
1017,circl,3
1037,cleaver,3
1042,clip,3
1056,cluizel,3
1065,coat,3
1087,coiled,3
1102,colombian,3
1108,colossal,3
1110,comal,3
1112,combine,3
1132,conch,3
1137,cone,3
1143,consistency,3
1150,content,3
1162,cookware,3
1189,corona,3
1207,course,3
1263,cro,3
1288,crush,3
1324,cupmirin,3
1332,cupsfresh,3
1335,cupspanko,3
1374,damascu,3
1375,damp,3
1393,daz,3
1396,deboned,3
1404,decoratively,3
1415,del,3
1417,delic,3
1434,department,3
1463,diet,3
1465,digital,3
1475,dinosaur,3
1481,directed,3
1487,disc,3
1572,duckling,3
1586,durum,3
1648,empanada,3
1662,enriched,3
1681,ero,3
1708,excellent,3
1727,extremely,3
1747,farmed,3
1749,farmhouse,3
1763,feathery,3
1765,fee,3
1796,fill,3
1797,filled,3
1800,filleted,3
1817,finnan,3
1837,flake,3
1845,flap,3
1850,flatiron,3
1851,flatleaf,3
1882,fluke,3
1915,forming,3
1918,forty,3
1927,fragrant,3
1952,freshepazote,3
1983,fruitcake,3
1994,fun,3
2013,ganache,3
2040,gelatine,3
2045,generally,3
2059,ghirardelli,3
2088,glazeepi,3
2102,go,3
2134,granite,3
2149,grate,3
2165,gremolata,3
2182,groat,3
2202,guinea,3
2210,gunpowder,3
2219,haba,3
2222,haddie,3
2269,hatch,3
2281,healthy,3
2292,hedgehog,3
2311,here,3
2436,individually,3
2446,innard,3
2449,insert,3
2498,jarlsberg,3
2513,jerk,3
2540,juicy,3
2588,ketjap,3
2625,knockwurst,3
2648,kosho,3
2649,kraft,3
2711,laxmi,3
2739,legum,3
2770,lighter,3
2777,lillet,3
2832,lollo,3
2836,longhorn,3
2852,lovage,3
2859,lpound,3
2888,macoun,3
2903,mah,3
2952,manicotti,3
2970,march,3
2973,margarita,3
2995,marrowbon,3
2999,martin,3
3017,master,3
3018,mat,3
3028,matzah,3
3059,melba,3
3116,minc,3
3139,mitt,3
3147,mmel,3
3152,moderately,3
3168,monin,3
3185,morello,3
3190,mortadella,3
3212,mr,3
3251,n,3
3257,nama,3
3316,nicoise,3
3326,noise,3
3330,none,3
3336,nonpoisonou,3
3363,ntilde,3
3376,nyon,3
3383,oaxacan,3
3412,oli,3
3432,oounc,3
3437,opening,3
3452,oreo,3
3456,orgeat,3
3459,ornamental,3
3478,ounceahi,3
3491,ovaltine,3
3507,paccheri,3
3522,paella,3
3527,pair,3
3535,panca,3
3544,panela,3
3573,parsely,3
3630,pei,3
3636,pencil,3
3678,personal,3
3680,peruvian,3
3685,pete,3
3691,pheasant,3
3693,pho,3
3719,pierre,3
3727,pillsbury,3
3730,pilsner,3
3732,pimentn,3
3734,pimenton,3
3752,piping,3
3767,plac,3
3772,plane,3
3775,plant,3
3796,plymouth,3
3814,pollack,3
3817,pom,3
3832,popover,3
3874,pozole,3
3890,preference,3
3913,pretty,3
3915,prevent,3
3965,pulverized,3
4022,raclette,3
4027,ragout,3
4034,raja,3
4060,rather,3
4070,real,3
4095,redhot,3
4096,redskinned,3
4105,refrigerate,3
4125,remote,3
4154,revolving,3
4188,rinse,3
4196,riso,3
4213,rocket,3
4249,rouge,3
4254,rouille,3
4266,ruffle,3
4273,running,3
4285,sable,3
4298,saint,3
4318,salty,3
4325,samuel,3
4347,satsuma,3
4350,sauceepi,3
4375,scal,3
4378,scale,3
4382,scalloped,3
4387,scap,3
4402,scrap,3
4405,scraping,3
4414,sealing,3
4416,seasonal,3
4443,seitan,3
4482,shake,3
4509,shaver,3
4537,shoga,3
4545,shortcak,3
4577,sifter,3
4579,silan,3
4615,skimmed,3
4635,slicing,3
4681,soaking,3
4687,sofrito,3
4749,speck,3
4767,spinner,3
4823,stack,3
4836,starchy,3
4849,steeping,3
4855,stevia,3
4860,sticker,3
4886,stovetop,3
4902,stringles,3
4920,sturdy,3
4933,succotash,3
4968,suppli,3
4986,sweeter,3
4996,syrupy,3
5024,tablspoon,3
5029,taglierini,3
5033,tahitian,3
5050,tandoori,3
5051,tangelo,3
5055,tank,3
5056,tanqueray,3
5058,tape,3
5077,tasting,3
5089,teapsoon,3
5103,tempered,3
5124,texture,3
5155,think,3
5170,thumb,3
5179,tiger,3
5185,tillamook,3
5202,toasting,3
5230,tony,3
5247,tos,3
5248,toscano,3
5263,trader,3
5267,transfer,3
5268,translucent,3
5272,treated,3
5308,tuaca,3
5313,tubetti,3
5328,turn,3
5356,ultrapasteurized,3
5357,ultrathin,3
5359,umeboshi,3
5376,undiluted,3
5388,uniformly,3
5402,unshelled,3
5426,urad,3
5436,uwajimaya,3
5518,vitamin,3
5528,wagon,3
5534,want,3
5550,waterproof,3
5566,weed,3
5631,wisconsin,3
5632,wise,3
5655,wrapping,3
5671,year,3
5674,yellowfin,3
5694,zatarain,3
5706,zinger,3
15,accommodate,2
16,accompanied,2
40,adjusting,2
53,against,2
54,agar,2
64,ail,2
70,ajika,2
71,ajvar,2
72,ajwain,2
78,alcohol,2
86,alioli,2
87,aliz,2
90,alla,2
98,alongside,2
104,alternated,2
106,alternativ,2
108,although,2
140,andspicy,2
166,app,2
174,appleton,2
193,arm,2
195,armenian,2
198,around,2
205,arthur,2
208,artisan,2
211,asada,2
217,ascorbic,2
218,ascurried,2
225,assam,2
232,ateco,2
252,azul,2
257,baccal,2
270,bahn,2
278,bakery,2
293,ban,2
294,banan,2
298,banh,2
312,barquette,2
313,barramundi,2
333,bavarian,2
346,beautiful,2
348,because,2
386,berried,2
397,bevmo,2
401,biber,2
402,bibimbap,2
414,bison,2
419,bitersweet,2
431,blad,2
436,blanching,2
455,bloodline,2
458,blotted,2
468,boat,2
469,bob,2
472,bobsredmill,2
536,boy,2
542,bragg,2
570,breakage,2
575,bresaola,2
584,brighter,2
586,brinata,2
618,browning,2
626,bubble,2
638,bull,2
642,bundl,2
643,bundle,2
645,buonitalia,2
647,burdock,2
651,burn,2
657,bush,2
666,buttercrunch,2
667,buttercup,2
670,butterfinger,2
673,butterhead,2
692,caesar,2
694,cai,2
695,cajeta,2
697,cajungrocer,2
705,calamata,2
706,calendula,2
722,camellia,2
748,cannoli,2
752,cantal,2
753,cantaloup,2
769,caponata,2
770,cappelletti,2
771,capsicum,2
776,carapace,2
778,caravelle,2
794,carne,2
795,carolina,2
797,carp,2
799,carpet,2
804,carved,2
807,casaba,2
821,castellane,2
838,cavaillon,2
844,cavity,2
850,cedar,2
858,cent,2
868,ceylon,2
869,ch,2
873,chachere,2
875,chai,2
876,chain,2
878,cham,2
880,chamel,2
888,charbay,2
896,charmoula,2
899,chateaubriand,2
901,chayot,2
927,cheshire,2
929,chevre,2
931,chex,2
932,chi,2
935,chicharr,2
939,chico,2
944,chihuahua,2
964,chipolt,2
984,chopmeat,2
992,choux,2
994,chowder,2
998,chua,2
1001,chuka,2
1026,clamato,2
1029,clark,2
1044,clod,2
1046,closed,2
1047,closer,2
1057,clump,2
1059,co,2
1060,coach,2
1086,coil,2
1095,coleman,2
1097,collapsible,2
1106,colorful,2
1118,company,2
1122,composed,2
1130,concepci,2
1167,cope,2
1168,coppa,2
1169,copper,2
1174,corer,2
1184,cornflake,2
1190,corrugated,2
1192,corvina,2
1195,cotixa,2
1208,court,2
1211,couverture,2
1216,covering,2
1221,crabapple,2
1227,craft,2
1229,cran,2
1232,cranked,2
1238,creamer,2
1262,crme,2
1265,crock,2
1275,crottin,2
1297,cuarenta,2
1323,cuphazelnut,2
1328,cupsaut,2
1330,cupscorn,2
1339,cupstomato,2
1386,dartagnan,2
1397,decassi,2
1400,decorate,2
1406,deeper,2
1422,delicatessen,2
1429,dend,2
1447,dessicated,2
1451,devil,2
1460,dicing,2
1471,dilly,2
1491,discoloration,2
1492,discolored,2
1503,dodoni,2
1510,dolin,2
1519,donnie,2
1522,doone,2
1524,doppio,2
1532,doughnut,2
1549,dressed,2
1561,droste,2
1583,duo,2
1588,dusted,2
1599,earlier,2
1600,early,2
1612,edam,2
1636,elimination,2
1637,elite,2
1652,enameled,2
1665,entire,2
1666,entremet,2
1675,equatoriale,2
1678,equivalent,2
1679,equpment,2
1686,especially,2
1689,espuma,2
1701,evenly,2
1714,expensive,2
1715,explorateur,2
1717,exposed,2
1724,extracted,2
1734,falernum,2
1735,fall,2
1743,farfallini,2
1751,fashion,2
1756,fattened,2
1759,favorit,2
1766,feel,2
1775,fern,2
1777,ferrand,2
1782,fettucine,2
1785,fiber,2
1787,fiddlehead,2
1792,fifth,2
