,Category,x
5370,,256
5109,,255
1597,,253
3757,pistachio,252
4252,,252
1827,,249
3159,molasses,248
295,banana,247
5070,,247
3572,parmigiano,246
4109,,246
1148,,245
1925,,245
3331,,245
3044,meat,244
1003,,242
1659,,242
2284,,242
223,asparagus,240
1982,fruit,240
2385,,240
133,anchovy,238
3605,,238
4313,,238
5135,,238
5688,,238
2070,gin,237
4381,scallop,237
3712,,236
268,baguette,235
600,broccoli,235
2586,kernel,235
4435,,235
435,,234
2256,,233
3267,,233
5547,watercress,233
463,blueberry,232
2130,,231
5592,,231
714,,230
5458,veal,230
1203,,229
859,,228
4814,,228
229,,227
3278,,226
3973,,225
659,,224
462,,223
676,butternut,221
2162,,220
3013,,218
4227,romaine,217
4655,,217
959,,216
5108,,216
5672,yeast,216
605,,215
3900,,213
623,,212
3504,oyster,212
3379,oat,210
5193,,210
5366,,210
2039,gelatin,209
4680,,208
4292,saffron,205
5326,,205
2560,kale,204
4112,,204
1793,fig,203
2735,,203
1454,,202
2984,marjoram,200
4834,,200
882,champagne,199
5380,,199
3140,,196
3938,prosciutto,196
1225,cracker,195
3802,,195
5165,,195
1455,,194
1589,,194
418,,193
3131,,192
4611,,192
385,berry,191
1224,,191
2821,,191
5254,,191
425,blackberry,190
5616,,190
372,,189
4419,,189
4548,,189
4554,,189
160,,187
3575,parsnip,187
3910,,186
4386,,186
3819,pomegranate,185
2617,,184
4309,salsa,184
322,,183
2143,grapefruit,183
1155,,182
2072,ginger,182
4021,,182
4057,raspberry,182
4543,,181
1871,,180
4704,,180
417,,179
1838,,179
4963,,179
420,bitter,178
4737,,178
480,,177
2829,,177
1921,,175
2488,jam,175
4803,sprout,175
4989,,175
2113,,174
2442,,174
2890,,174
4644,,173
1498,,172
527,,171
2718,,171
1752,,169
2720,,169
813,,168
2063,giblet,167
2046,,166
2748,,166
4426,,166
1231,cranberry,165
3708,,165
3904,,165
5319,tuna,164
5481,vermouth,164
938,chickpea,163
2393,,163
3354,note,163
3256,nam,162
3457,oriental,162
3086,,161
131,anchovy,159
1296,,159
2350,,159
2438,,158
4355,sausage,158
1940,,157
2587,ketchup,157
3840,port,157
4631,slice,157
5002,tabasco,157
2744,lemongrass,156
5085,tea,156
1389,,155
3760,pita,155
836,cauliflower,154
1035,,154
2480,,153
3283,,153
3561,,153
1571,duck,152
4222,roll,152
4638,,152
316,bass,151
1976,,151
5332,turnip,151
1128,concentrate,150
4076,,150
186,,149
760,,149
4187,,149
4954,,148
2460,,146
1688,espresso,145
3271,,145
5626,wing,145
3616,,144
3957,,143
4185,,143
5400,,143
4798,,142
43,adobo,141
5519,vodka,141
1303,,140
3836,porcini,140
3950,prune,140
5034,tail,140
2231,halibut,139
4576,,139
1159,cookie,138
4499,,138
4900,,138
1493,,137
3305,,136
3628,,136
3745,,136
5667,yam,136
29,,135
928,chestnut,135
2544,,135
4068,,135
4230,,135
1529,,134
2142,grape,134
3454,,134
3538,pancetta,133
4329,sandwich,133
1839,,132
5071,tartar,132
432,blade,131
3240,mussel,131
4881,,131
1000,chuck,130
3176,monterey,130
3799,poblano,129
